time,bpm,spo2,Trans: Wave,Reflect: Red,Reflect: IR
0.00477910041809082,82,98,39,57826,14454
0.0434870719909668,82,98,47,1147371,1147353
0.0814056396484375,82,98,56,1703914,2255861
0.12246298789978027,82,98,64,1703867,2266424
0.1622300148010254,82,98,71,1703876,2266402
0.20293211936950684,82,98,74,1703868,2266449
0.2436814308166504,82,98,74,1703807,2266290
0.28234148025512695,82,98,73,1703701,2266114
0.3230748176574707,82,97,69,1703638,2265940
0.3637964725494385,82,97,64,1703667,2265985
0.40240931510925293,82,97,58,1703622,2265928
0.4431498050689697,82,97,52,1703700,2266032
0.4817996025085449,82,97,46,1703671,2266068
0.5225355625152588,82,97,41,1703686,2266019
0.5632603168487549,82,97,38,1703661,2266018
0.6018521785736084,82,97,35,1703636,2265966
0.6426610946655273,82,97,33,1703697,2266071
0.6833992004394531,82,97,33,1703658,2266018
0.722017765045166,82,97,33,1703684,2266106
0.762782096862793,82,97,34,1703698,2266140
0.8034982681274414,82,97,35,1703731,2266188
0.8421187400817871,82,97,35,1703687,2266166
0.8828811645507812,82,97,34,1703683,2266139
0.9215917587280273,82,97,32,1703644,2266059
0.9623878002166748,82,97,30,1703540,2265835
1.002316951751709,82,97,28,1703491,2265714
1.0417792797088623,82,97,25,1703515,2265739
1.081193447113037,82,97,23,1703535,2265819
1.1223347187042236,82,97,21,1703593,2265901
1.1616835594177246,82,97,19,1703624,2265979
1.2017507553100586,82,97,17,1703594,2265945
1.2425758838653564,82,97,15,1703579,2265923
1.2816975116729736,82,97,14,1703570,2265930
1.321146011352539,82,97,13,1703551,2265931
1.3606202602386475,82,97,12,1703596,2265957
1.4018099308013916,82,97,12,1703576,2266024
1.4411873817443848,82,97,12,1703599,2266028
1.48114013671875,82,97,13,1703634,2266098
1.5222265720367432,82,97,15,1703672,2266174
1.5617647171020508,82,97,21,1703651,2266223
1.6013140678405762,82,97,29,1703648,2266233
1.6422550678253174,82,97,39,1703557,2266003
1.6821317672729492,82,97,48,1703464,2265800
1.7217373847961426,82,97,58,1703417,2265731
1.761244535446167,82,97,65,1703440,2265767
1.8007402420043945,82,97,70,1703468,2265888
1.8418567180633545,82,97,70,1703506,2265953
1.8813588619232178,82,97,69,1703538,2265998
1.9207522869110107,82,97,65,1703491,2265994
1.9618496894836426,82,97,60,1703479,2265920
2.0031278133392334,82,97,55,1703501,2265930
2.041804313659668,82,97,49,1703482,2265935
2.0805890560150146,82,97,44,1703516,2266039
2.1217503547668457,82,97,40,1703522,2266066
