time,bpm,spo2,Trans: Wave,Reflect: Red,Reflect: IR
0.005125284194946289,80,97,39,57824,57833
0.0230252742767334,80,97,38,336292,336245
0.042899370193481445,80,97,37,614646,614852
0.06315088272094727,80,97,37,893245,893328
0.07995247840881348,80,97,36,1171987,1171826
0.10005402565002441,80,97,35,1441336,1450488
0.11994528770446777,80,97,34,1441334,1728891
0.1396501064300537,80,97,33,1441316,2002856
0.16023945808410645,80,97,32,1441331,2264765
0.17992901802062988,80,97,32,1441327,2264690
0.19962000846862793,80,97,31,1441297,2264616
0.2202303409576416,80,97,31,1441281,2264584
0.23991751670837402,80,97,30,1441278,2264530
0.2595970630645752,80,97,30,1441256,2264528
0.28020715713500977,80,97,29,1441274,2264554
0.2998983860015869,80,97,29,1441286,2264569
0.3195943832397461,80,97,28,1441301,2264631
0.34018397331237793,80,97,28,1441339,2264707
0.35987305641174316,80,97,29,1441366,2264721
0.379563570022583,80,97,32,1441354,2264756
0.40016889572143555,80,97,36,1441365,2264779
0.419849157333374,80,97,40,1441370,2264707
0.4395148754119873,80,97,49,1441354,2264655
0.4602177143096924,80,97,53,1441343,2264635
0.480057954788208,80,97,55,1441335,2264591
0.4998636245727539,80,97,55,1441354,2264589
0.5195639133453369,80,97,54,1441335,2264597
0.5401291847229004,81,97,65,1441343,2264627
0.5599484443664551,81,97,60,1441348,2264631
0.5796465873718262,81,97,54,1441357,2264666
0.5993833541870117,81,97,48,1441387,2264714
0.6200041770935059,81,97,43,1441409,2264758
0.6397221088409424,81,97,39,1441415,2264733
0.659473180770874,81,97,35,1441394,2264754
0.6800613403320312,81,97,33,1441405,2264782
0.6998543739318848,81,97,31,1441410,2264794
0.7196407318115234,81,97,31,1441444,2264828
0.7393536567687988,81,97,31,1441459,2264826
0.7599868774414062,81,97,31,1441456,2264877
0.7815291881561279,81,97,30,1441478,2264895
0.8032562732696533,81,97,28,1441464,2264826
0.8229970932006836,81,97,26,1441419,2264827
0.8427283763885498,81,97,24,1441524,2264830
