time,Reflect: Red,Reflect: IR
0.005342245101928711,21134,25028
0.01015329360961914,21142,25039
0.014928340911865234,21151,25052
0.019873619079589844,21160,25077
0.024593114852905273,21172,25093
0.029267072677612305,21180,25103
0.03394055366516113,21184,25104
0.03854250907897949,21181,25095
0.043107032775878906,21181,25087
0.04771304130554199,21170,25058
0.05090475082397461,21170,25035
0.05365324020385742,21174,25037
0.05639958381652832,21178,25036
0.059159278869628906,21177,25031
0.0619502067565918,21176,25030
0.06477046012878418,21188,25041
0.06757116317749023,21189,25041
0.07031130790710449,21190,25040
0.07299971580505371,21192,25034
0.07573938369750977,21195,25037
0.07852697372436523,21199,25048
0.08126187324523926,21208,25061
0.08402800559997559,21214,25070
0.08685493469238281,21216,25077
0.08985209465026855,21220,25080
0.09271121025085449,21225,25082
0.09548330307006836,21225,25074
0.09827089309692383,21223,25070
0.10098719596862793,21223,25065
0.1038200855255127,21225,25066
0.1067812442779541,21229,25068
0.10983085632324219,21224,25045
0.11542797088623047,21195,25057
0.15469837188720703,21223,25042
0.19467520713806152,21212,25032
0.23418450355529785,21218,25016
0.2758057117462158,21203,25025
0.31496286392211914,21225,25037
0.3573284149169922,21234,25036
0.3956267833709717,21236,25027
0.4360361099243164,21236,25026
0.4764719009399414,21239,25033
0.5168530941009521,21233,25030
0.5554828643798828,21234,25025
0.5959641933441162,21246,25032
0.6364006996154785,21242,25037
0.6768605709075928,21240,25018
0.7151827812194824,21245,25030
0.7556393146514893,21236,25016
0.7961556911468506,21253,25036
0.8366334438323975,21241,25020
0.8750050067901611,21259,25037
0.9154422283172607,21249,25030
0.9558827877044678,21268,25041
0.9963076114654541,21266,25038
1.0363757610321045,21272,25033
1.0747840404510498,21257,25007
1.1151916980743408,21260,25008
1.1556193828582764,21273,25008
1.1960158348083496,21262,24999
1.2363855838775635,21258,24997
1.2747776508331299,21273,25023
1.31522536277771,21264,25011
1.3556568622589111,21280,25021
1.3960487842559814,21274,25016
1.4364376068115234,21295,25023
1.4747343063354492,21281,25010
1.5151193141937256,21273,25004
1.5559070110321045,21309,25048
1.5963361263275146,21304,25038
1.6346039772033691,21298,25023
1.6750080585479736,21290,25016
1.7153987884521484,21298,25035
1.7558000087738037,21302,25032
1.7962062358856201,21315,25038
1.8344955444335938,21310,25025
1.8749008178710938,21302,25009
1.9152798652648926,21299,25024
1.9556810855865479,21296,25002
1.9960758686065674,21306,24992
2.0346081256866455,21284,24971
2.0735483169555664,21301,25008
2.1142523288726807,21314,24995
2.153325319290161,21316,24995
2.194488525390625,21306,24993
2.2348759174346924,21323,25014
2.2753334045410156,21318,25006
2.3158204555511475,21322,25004
2.354125499725342,21329,25003
2.394537925720215,21323,24991
2.434924364089966,21323,24997
2.4753317832946777,21320,25010
2.515716552734375,21331,25023
2.5540199279785156,21336,25013
2.5944583415985107,21334,25011
2.63484525680542,21330,25006
2.6752419471740723,21317,24989
2.7135133743286133,21338,25020
2.753887414932251,21342,25020
2.794325828552246,21347,25010
2.834725856781006,21338,25003
2.8751397132873535,21318,24992
2.9134042263031006,21332,24982
2.953787326812744,21334,24971
2.9942524433135986,21340,24973
3.034900665283203,21328,24964
3.073138952255249,21346,24976
3.113891363143921,21332,24982
3.1529555320739746,21332,24989
3.195158004760742,21349,24985
3.233428716659546,21343,24975
3.27384090423584,21333,24975
3.3142690658569336,21351,24986
3.3547186851501465,21346,24984
3.395132303237915,21359,24999
3.4333934783935547,21359,24988
3.4737980365753174,21345,24975
3.5141801834106445,21345,24984
3.554598808288574,21350,24996
3.5950276851654053,21364,25002
3.633298397064209,21367,24999
3.6737093925476074,21363,24988
3.714444160461426,21361,24997
3.7549338340759277,21373,25009
3.793290138244629,21369,25004
3.8336985111236572,21373,24996
3.8741517066955566,21350,24958
3.9145569801330566,21343,24939
3.9528400897979736,21349,24941
3.9932525157928467,21342,24952
4.033035755157471,21387,24992
4.072492599487305,21378,24967
4.113349914550781,21365,24965
4.1524553298950195,21364,24967
4.193701982498169,21366,24973
4.234125852584839,21367,24973
4.274567127227783,21385,24985
4.3129425048828125,21377,24978
4.353404760360718,21388,24989
4.39397406578064,21383,24985
4.43432354927063,21395,24994
4.472665071487427,21379,24974
4.513133525848389,21381,24971
4.553869962692261,21381,24993
4.592257976531982,21393,25004
4.632724761962891,21388,24990
4.673175096511841,21399,24995
4.713601350784302,21392,24980
4.754026174545288,21390,24969
4.792476415634155,21375,24952
4.83296537399292,21374,24927
4.873448133468628,21373,24932
4.913897275924683,21377,24926
4.95222020149231,21379,24936
4.992686986923218,21376,24939
5.033285140991211,21389,24955
5.073909521102905,21392,24949
5.1122822761535645,21393,24958
5.152727842330933,21389,24950
5.193199634552002,21391,24964
5.233667373657227,21392,24952
5.272021055221558,21391,24962
5.312540054321289,21391,24957
5.353009462356567,21393,24962
5.3934760093688965,21392,24959
5.431795597076416,21399,24971
5.472242116928101,21394,24974
5.512667894363403,21410,24988
5.553166389465332,21405,24980
5.591555118560791,21412,24991
5.63203239440918,21405,24986
5.672484397888184,21411,24976
5.712914943695068,21398,24939
5.75335693359375,21397,24926
5.791759967803955,21392,24931
5.8322365283966064,21397,24928
5.8727147579193115,21400,24936
5.913161516189575,21394,24938
5.951474189758301,21404,24952
5.991933822631836,21398,24947
6.032519817352295,21406,24957
6.071365118026733,21404,24952
6.111879348754883,21400,24947
6.152290344238281,21415,24965
6.192755937576294,21417,24959
6.233191013336182,21425,24976
6.271509170532227,21424,24968
6.312018394470215,21418,24962
6.352495431900024,21422,24968
6.392959833145142,21419,24962
6.431265592575073,21417,24955
6.471676826477051,21405,24952
6.512114524841309,21410,24956
6.552604675292969,21410,24958
6.5909743309021,21416,24963
6.631383419036865,21404,24940
6.671789884567261,21414,24931
6.712216138839722,21411,24908
6.7526185512542725,21402,24896
6.7909111976623535,21401,24901
