time,bpm,spo2,Trans: Wave,Reflect: Red,Reflect: IR
0.005097627639770508,66,97,91,57861,14449
0.04230809211730957,66,97,87,1147348,1147376
0.08205246925354004,66,97,49,1708738,1989701
0.12005186080932617,66,97,48,1708735,1996468
0.1599588394165039,66,97,48,1708765,1996549
0.19971132278442383,66,97,47,1708796,1996616
0.2394106388092041,66,97,47,1708842,1996694
0.279447078704834,66,97,46,1708880,1996766
0.31941676139831543,66,97,45,1708899,1996827
0.3593747615814209,66,97,44,1708926,1996893
0.39931631088256836,66,97,42,1708968,1996959
0.43922924995422363,66,97,41,1709002,1997046
0.47917890548706055,66,97,40,1709030,1997094
0.5191178321838379,66,97,39,1709044,1997142
0.5598728656768799,66,97,38,1709067,1997181
0.5997800827026367,66,97,37,1709072,1997208
0.6397538185119629,66,97,36,1709047,1997109
0.679656982421875,66,97,36,1709019,1996918
0.719576358795166,66,97,35,1709005,1996822
0.7594866752624512,66,97,35,1709014,1996846
0.8007664680480957,66,97,35,1709036,1996878
0.841801643371582,66,97,35,1709064,1996948
0.8811826705932617,66,97,35,1709117,1997034
0.9216444492340088,66,97,34,1709110,1997056
0.9624142646789551,66,97,34,1709133,1997088
1.0012059211730957,66,97,33,1709095,1997040
1.0406591892242432,66,97,32,1709105,1997049
1.081730604171753,66,97,32,1709119,1997032
1.1211121082305908,66,97,31,1709098,1997020
1.1605336666107178,66,97,30,1709086,1997008
1.2016422748565674,66,97,30,1709089,1996982
1.2410404682159424,66,97,29,1709103,1997024
1.28047513961792,66,97,29,1709095,1997046
1.3225657939910889,66,97,28,1709131,1997114
1.3612501621246338,66,97,28,1709143,1997151
1.400634765625,66,97,27,1709173,1997125
1.4401638507843018,66,97,28,1709114,1996932
1.4813671112060547,66,97,30,1709097,1996724
1.5217387676239014,66,97,34,1709085,1996723
1.560614824295044,66,97,40,1709076,1996789
1.6004226207733154,66,97,46,1709138,1996837
1.6398546695709229,66,97,54,1709159,1996913
1.6810283660888672,66,97,61,1709150,1996953
1.7207157611846924,66,97,67,1709182,1996997
1.761598825454712,66,97,70,1709194,1996955
1.799665927886963,66,97,72,1709212,1997013
1.8408265113830566,66,97,73,1709209,1997027
1.8803963661193848,66,97,72,1709225,1997038
1.9198825359344482,66,97,71,1709210,1997094
