time,Reflect: Red,Reflect: IR
0.004542112350463867,323291,596661
0.009143590927124023,323292,596670
0.013808250427246094,323299,596684
0.018503427505493164,323305,596691
0.023232221603393555,323304,596697
0.02804875373840332,323304,596703
0.03244185447692871,323315,596717
0.03615832328796387,323315,596721
0.039815425872802734,323320,596729
0.04341745376586914,323319,596743
0.047026634216308594,323324,596749
0.05064225196838379,323326,596749
0.054204463958740234,323306,596700
0.05775785446166992,323268,596620
0.06131911277770996,323264,596606
0.06494545936584473,323273,596605
0.0686800479888916,323277,596608
0.07240152359008789,323276,596612
0.07614302635192871,323278,596624
0.07983136177062988,323280,596626
0.08345556259155273,323282,596624
0.0870962142944336,323278,596621
0.09074687957763672,323285,596626
0.09445071220397949,323287,596639
0.09811544418334961,323293,596658
0.10187959671020508,323301,596669
0.10564208030700684,323305,596675
0.10939288139343262,323305,596685
0.11309432983398438,323311,596693
0.11680459976196289,323315,596706
0.12044215202331543,323320,596698
0.12412571907043457,323322,596713
0.12811946868896484,323311,596710
0.1523580551147461,323343,596698
0.19174695014953613,323314,596674
0.23087644577026367,323272,596639
0.2706294059753418,323280,596607
0.3113222122192383,323292,596618
0.351168155670166,323299,596634
0.3910207748413086,323307,596652
0.43087220191955566,323311,596665
0.4707481861114502,323319,596680
0.5106306076049805,323314,596672
0.550438642501831,323321,596671
0.5911152362823486,323324,596683
0.6309707164764404,323332,596702
0.6708338260650635,323338,596717
0.7107126712799072,323342,596730
0.7505850791931152,323345,596733
0.7904388904571533,323351,596745
0.8302867412567139,323350,596756
0.870976448059082,323354,596769
0.9108283519744873,323357,596776
0.9537568092346191,323371,596789
0.9942190647125244,323375,596798
1.03253173828125,323369,596797
1.0730688571929932,323351,596748
1.1135401725769043,323317,596674
1.1540212631225586,323307,596636
1.192497968673706,323316,596646
1.2330889701843262,323331,596657
1.2735984325408936,323334,596676
1.3140144348144531,323344,596690
1.3523344993591309,323339,596691
1.392747163772583,323331,596666
1.4331579208374023,323338,596686
1.473621129989624,323333,596687
1.5119285583496094,323359,596724
1.5523746013641357,323360,596723
1.5927824974060059,323377,596749
1.6332542896270752,323368,596742
1.6737098693847656,323366,596737
1.7120471000671387,323371,596749
1.7525744438171387,323370,596752
1.7930641174316406,323374,596764
1.8335165977478027,323368,596766
1.871870517730713,323387,596782
1.912294864654541,323372,596790
1.9527578353881836,323385,596806
1.9932351112365723,323369,596773
2.0316147804260254,323342,596688
2.0720913410186768,323318,596642
2.1125295162200928,323340,596660
2.1533236503601074,323336,596641
2.1919901371002197,323349,596670
2.2325921058654785,323353,596689
2.2721383571624756,323361,596676
2.3112480640411377,323360,596701
2.352694511413574,323359,596705
2.393137216567993,323361,596684
2.4314463138580322,323366,596704
2.4721105098724365,323376,596732
2.5126230716705322,323388,596747
2.5531067848205566,323388,596752
2.591439962387085,323388,596761
2.63187575340271,323388,596769
2.672325372695923,323395,596780
2.712808847427368,323387,596779
2.7511703968048096,323408,596813
2.791592597961426,323399,596820
2.83200740814209,323424,596845
2.8724496364593506,323419,596837
2.9128639698028564,323418,596819
2.951239824295044,323368,596730
2.9917588233947754,323355,596654
3.0322153568267822,323354,596656
3.072683334350586,323355,596659
3.110999345779419,323365,596679
3.151456356048584,323364,596684
3.1926186084747314,323385,596717
3.231112480163574,323376,596712
3.2716453075408936,323381,596708
3.3121936321258545,323381,596695
3.3506948947906494,323399,596727
3.3911523818969727,323387,596725
3.4316012859344482,323405,596752
3.4721741676330566,323393,596747
3.512683629989624,323406,596772
3.5510618686676025,323403,596773
3.5915088653564453,323415,596786
3.631953001022339,323409,596780
3.6723928451538086,323410,596788
3.7107863426208496,323410,596794
3.751314878463745,323411,596802
3.7917585372924805,323415,596797
3.832200765609741,323380,596736
3.870563268661499,323372,596682
3.911001682281494,323363,596670
3.951465129852295,323373,596685
3.9919402599334717,323377,596699
4.030282735824585,323397,596728
4.070745229721069,323403,596742
4.111176252365112,323420,596760
4.151636123657227,323417,596745
4.192363977432251,323411,596739
4.2308127880096436,323399,596743
4.270655870437622,323402,596768
4.309818983078003,323410,596792
4.350811004638672,323422,596802
4.391225576400757,323421,596799
4.4316675662994385,323426,596803
4.470056533813477,323443,596836
4.510554075241089,323430,596824
4.551022291183472,323453,596854
4.591465711593628,323443,596846
4.631896018981934,323464,596877
4.6702375411987305,323455,596857
4.710731267929077,323428,596802
4.7512407302856445,323401,596713
4.791733026504517,323399,596697
4.8300769329071045,323397,596692
4.870541095733643,323403,596699
4.910973787307739,323404,596716
4.95142674446106,323403,596720
4.9897685050964355,323416,596751
5.030222654342651,323409,596749
5.070692300796509,323430,596748
5.111090421676636,323432,596756
5.151529550552368,323444,596772
5.189942121505737,323437,596778
5.230481386184692,323455,596807
5.27098536491394,323449,596800
5.31141996383667,323453,596806
5.349740982055664,323446,596802
5.390202522277832,323449,596809
5.430678606033325,323454,596828
5.471174716949463,323446,596825
5.509509086608887,323458,596851
5.549941539764404,323449,596847
5.590412378311157,323474,596875
5.63084864616394,323459,596852
5.671307325363159,323429,596759
5.709622621536255,323413,596707
5.750056266784668,323411,596685
5.790543794631958,323412,596695
5.830978155136108,323409,596697
5.869319915771484,323412,596724
5.909748315811157,323410,596732
5.9501800537109375,323433,596756
5.990701675415039,323433,596750
6.031156539916992,323441,596758
6.069517374038696,323439,596751
6.109969615936279,323453,596776
6.15039849281311,323456,596785
6.1923065185546875,323461,596792
6.229854106903076,323479,596832
6.2683961391448975,323456,596818
6.309214115142822,323468,596835
6.348361968994141,323475,596848
6.390401601791382,323484,596865
6.430835485458374,323491,596872
6.4691386222839355,323485,596870
6.509644031524658,323484,596860
6.550098657608032,323481,596865
6.590569257736206,323446,596796
