time,Reflect: Red,Reflect: IR
0.004002571105957031,1707174,1997453
0.008631706237792969,1707186,1997452
0.013294696807861328,1707198,1997468
0.017983436584472656,1707203,1997458
0.022639751434326172,1707212,1997491
0.027288198471069336,1707220,1997501
0.03193044662475586,1707218,1997516
0.03651309013366699,1707215,1997491
0.04104948043823242,1707199,1997472
0.04552578926086426,1707211,1997472
0.05002617835998535,1707217,1997495
0.054499149322509766,1707250,1997571
0.0589601993560791,1707274,1997631
0.06344008445739746,1707275,1997652
0.06794238090515137,1707294,1997686
0.07244873046875,1707306,1997695
0.07709050178527832,1707305,1997705
0.08173298835754395,1707325,1997737
0.08635139465332031,1707330,1997751
0.0909879207611084,1707301,1997673
0.09563755989074707,1707267,1997556
0.10041427612304688,1707245,1997520
0.10355210304260254,1707256,1997526
0.1054074764251709,1707267,1997536
0.10726523399353027,1707275,1997550
0.10915899276733398,1707287,1997576
0.11112785339355469,1707289,1997585
0.11306285858154297,1707295,1997600
0.11497950553894043,1707297,1997604
0.11683082580566406,1707310,1997622
0.11861109733581543,1707298,1997616
0.12046504020690918,1707335,1997668
0.12234258651733398,1707343,1997699
0.15144848823547363,1707325,1997711
0.1911170482635498,1707369,1997736
0.23134851455688477,1707375,1997766
0.2712886333465576,1707394,1997780
0.3111727237701416,1707388,1997778
0.3511672019958496,1707356,1997694
0.39107203483581543,1707335,1997597
0.4309680461883545,1707316,1997555
0.47084712982177734,1707329,1997567
0.5115945339202881,1707332,1997585
0.5514366626739502,1707346,1997604
0.5913310050964355,1707362,1997615
0.6312196254730225,1707360,1997622
0.671107292175293,1707353,1997618
0.7114458084106445,1707353,1997611
0.7514257431030273,1707340,1997603
0.7913413047790527,1707358,1997631
0.8342893123626709,1707388,1997692
0.8747031688690186,1707407,1997688
0.9133443832397461,1707372,1997680
0.9539704322814941,1707398,1997699
0.9929263591766357,1707399,1997692
1.0323352813720703,1707395,1997742
1.0731360912322998,1707417,1997781
1.1128292083740234,1707426,1997758
1.1533784866333008,1707370,1997653
1.1940901279449463,1707371,1997590
1.2322430610656738,1707365,1997601
1.2732861042022705,1707377,1997591
1.312483310699463,1707392,1997612
1.351815938949585,1707421,1997667
