time,Reflect: Red,Reflect: IR
0.004571676254272461,1705532,1990594
0.00917816162109375,1705541,1990610
0.013824462890625,1705557,1990625
0.018503427505493164,1705557,1990613
0.023181676864624023,1705577,1990641
0.027840852737426758,1705581,1990657
0.03249335289001465,1705590,1990679
0.037102699279785156,1705593,1990701
0.041637420654296875,1705597,1990732
0.046118736267089844,1705613,1990738
0.05064511299133301,1705602,1990735
0.055132389068603516,1705609,1990758
0.05959153175354004,1705619,1990776
0.06405997276306152,1705623,1990783
0.06855249404907227,1705610,1990768
0.0730748176574707,1705564,1990717
0.07759928703308105,1705559,1990677
0.07946324348449707,1705569,1990653
0.08133125305175781,1705577,1990634
0.0832223892211914,1705559,1990610
0.08508491516113281,1705579,1990641
0.08695268630981445,1705584,1990647
0.08882689476013184,1705582,1990652
0.09072494506835938,1705587,1990653
0.09255003929138184,1705574,1990643
0.09442853927612305,1705589,1990657
0.09641432762145996,1705600,1990678
0.09833192825317383,1705600,1990668
0.10023927688598633,1705592,1990654
0.10215926170349121,1705605,1990676
0.1040506362915039,1705602,1990710
0.1059262752532959,1705599,1990681
0.11136293411254883,1705608,1990715
0.1519315242767334,1705613,1990704
0.19174551963806152,1705620,1990726
0.23156428337097168,1705626,1990743
0.27162599563598633,1705619,1990744
0.3115513324737549,1705586,1990690
0.3514292240142822,1705585,1990678
0.39130735397338867,1705602,1990657
0.4312245845794678,1705599,1990608
0.4710986614227295,1705588,1990601
0.5109524726867676,1705615,1990644
0.5509974956512451,1705604,1990613
0.5908868312835693,1705602,1990638
0.631598711013794,1705605,1990661
0.6715786457061768,1705594,1990633
0.7114555835723877,1705618,1990632
0.7514586448669434,1705621,1990651
0.7950022220611572,1705626,1990651
0.8333926200866699,1705631,1990668
0.873884916305542,1705653,1990710
0.9144797325134277,1705649,1990719
0.9529941082000732,1705657,1990749
0.9935207366943359,1705637,1990726
1.0339596271514893,1705648,1990757
1.0743873119354248,1705634,1990750
1.1127607822418213,1705671,1990794
1.1532094478607178,1705676,1990786
1.1937999725341797,1705680,1990788
1.2342748641967773,1705600,1990716
1.272899866104126,1705625,1990666
1.3132691383361816,1705610,1990633
1.3524363040924072,1705619,1990613
1.3932664394378662,1705564,1990571
1.434051275253296,1705660,1990656
1.4745652675628662,1705669,1990659
1.5129051208496094,1705653,1990657
1.5534579753875732,1705658,1990635
1.593993902206421,1705641,1990655
1.6344566345214844,1705692,1990706
1.6734509468078613,1705688,1990721
1.7139217853546143,1705700,1990818
1.7545232772827148,1705733,1990831
1.7927253246307373,1705681,1990812
1.8319463729858398,1705709,1990878
1.8728070259094238,1705715,1990883
1.9136300086975098,1705732,1990866
1.954244613647461,1705702,1990829
1.992635726928711,1705747,1990886
2.033031463623047,1705748,1990873
2.0734338760375977,1705719,1990873
2.112577199935913,1705764,1990955
2.152970790863037,1705714,1990837
2.193528890609741,1705677,1990796
2.2339746952056885,1705699,1990768
2.2753469944000244,1705668,1990738
2.3120169639587402,1705682,1990709
2.3514249324798584,1705677,1990709
2.3916475772857666,1705708,1990744
2.43269681930542,1705683,1990713
2.471848726272583,1705684,1990747
2.513779401779175,1705686,1990738
2.5529539585113525,1705688,1990738
2.5935168266296387,1705706,1990734
2.6321051120758057,1705721,1990750
