time,Reflect: Red,Reflect: IR
0.004633426666259766,1703832,2253150
0.009308576583862305,1703852,2253160
0.013983011245727539,1703864,2253165
0.018636465072631836,1703838,2253084
0.023265361785888672,1703737,2252972
0.027895212173461914,1703673,2252825
0.032507896423339844,1703688,2252775
0.0370943546295166,1703711,2252727
0.04159283638000488,1703702,2252668
0.04616427421569824,1703724,2252661
0.05097079277038574,1703704,2252654
0.05595111846923828,1703702,2252661
0.060831546783447266,1703712,2252653
0.0659780502319336,1703701,2252561
0.07085800170898438,1703689,2252487
0.07568216323852539,1703682,2252404
0.08046340942382812,1703680,2252335
0.08400535583496094,1703671,2252292
0.0860435962677002,1703676,2252253
0.08803582191467285,1703660,2252228
0.08993768692016602,1703666,2252207
0.09178662300109863,1703679,2252178
0.09368133544921875,1703668,2252128
0.09557485580444336,1703703,2252160
0.09745407104492188,1703661,2252155
0.09928274154663086,1703580,2252110
0.10110640525817871,1703627,2252111
0.10292744636535645,1703695,2252078
0.10473060607910156,1703722,2252018
0.10678243637084961,1703704,2251932
0.10886502265930176,1703724,2251860
0.11086225509643555,1703743,2251959
0.1127157211303711,1703762,2251991
0.15219354629516602,1703805,2251997
0.19214987754821777,1703807,2251951
0.23279905319213867,1703756,2251807
0.2727043628692627,1703794,2251840
0.3125910758972168,1703778,2251811
0.35247302055358887,1703787,2251794
0.3924291133880615,1703765,2251773
0.4323272705078125,1703779,2251801
0.4722106456756592,1703819,2251843
0.5121161937713623,1703805,2251805
0.5520434379577637,1703827,2251786
0.5917763710021973,1703845,2251812
0.6316947937011719,1703800,2251720
0.6723697185516357,1703735,2251752
0.7121655941009521,1703739,2251750
0.7520058155059814,1703767,2251679
0.7953104972839355,1703804,2251641
0.8356873989105225,1703799,2251526
0.8746151924133301,1703800,2251554
0.9154291152954102,1703813,2251542
0.9538943767547607,1703801,2251535
0.9944319725036621,1703791,2251538
1.0349113941192627,1703865,2251536
1.07366943359375,1703850,2251472
1.1134388446807861,1703849,2251447
1.15431547164917,1703813,2251387
1.1942565441131592,1703824,2251414
1.2347362041473389,1703824,2251474
1.2751989364624023,1703843,2251422
1.313535213470459,1703786,2251377
1.3539516925811768,1703799,2251349
1.3945281505584717,1703816,2251361
1.434995412826538,1703789,2251331
1.4733233451843262,1703763,2251280
1.5138444900512695,1703703,2251250
1.5544030666351318,1703694,2251210
1.5949082374572754,1703738,2251211
1.6324737071990967,1703839,2251151
1.6732828617095947,1703825,2251166
1.7151780128479004,1703832,2251108
1.7534794807434082,1703856,2251143
1.7940342426300049,1703859,2251121
1.8344929218292236,1703830,2251176
1.8729619979858398,1703835,2251145
1.9145102500915527,1703905,2251120
1.9528822898864746,1703861,2251174
1.9946298599243164,1703884,2251166
2.0330278873443604,1703855,2251139
2.073509931564331,1703874,2251179
2.1146888732910156,1703910,2251257
2.1532974243164062,1703941,2251268
2.193843126296997,1703910,2251356
2.2323901653289795,1703983,2251443
2.2732911109924316,1703969,2251388
2.314058303833008,1703926,2251418
2.354619264602661,1703938,2251411
2.3931617736816406,1703954,2251354
2.433912515640259,1704013,2251347
2.4744293689727783,1704014,2251372
2.5121734142303467,1704008,2251429
2.553056001663208,1703997,2251321
2.592632532119751,1703934,2251263
2.632081985473633,1703968,2251312
2.6729140281677246,1704015,2251354
2.713045835494995,1703978,2251275
2.7534828186035156,1703963,2251272
2.7938966751098633,1703939,2251181
2.832202672958374,1704037,2251171
2.87282657623291,1703990,2251309
2.913513660430908,1704019,2251248
2.953918695449829,1704019,2251317
2.9922173023223877,1704023,2251222
3.032677412033081,1704007,2251242
3.073080539703369,1704080,2251218
3.1121649742126465,1703948,2251272
3.1515212059020996,1703983,2251224
3.1924002170562744,1704020,2251224
3.2316091060638428,1704040,2251160
3.272566318511963,1704057,2251111
3.3119993209838867,1704039,2251148
3.352390766143799,1704027,2251063
3.39279842376709,1704076,2251161
3.433331251144409,1704065,2251212
3.4737887382507324,1704136,2251241
3.512423515319824,1704072,2251163
3.553366184234619,1704129,2251135
3.591723680496216,1704088,2251169
3.6335203647613525,1704092,2251191
3.672072410583496,1704056,2251215
