time,Reflect: Red,Reflect: IR
0.004555940628051758,593257,868711
0.009174346923828125,593275,868779
0.030582427978515625,593291,868817
0.035273075103759766,593297,868851
0.039849281311035156,593308,868875
0.04971647262573242,593316,868887
0.05942511558532715,593327,868906
0.06394195556640625,593325,868903
0.06847882270812988,593330,868917
0.07301044464111328,593342,868927
0.07758855819702148,593332,868910
0.08219385147094727,593315,868849
0.0867924690246582,593315,868811
0.09144997596740723,593320,868813
0.09615278244018555,593333,868835
0.10096859931945801,593335,868840
0.10348963737487793,593342,868852
0.10537505149841309,593347,868866
0.10732102394104004,593354,868883
0.10923361778259277,593343,868868
0.11123061180114746,593355,868870
0.113189697265625,593357,868891
0.11509060859680176,593373,868937
0.11692404747009277,593395,868987
0.11877965927124023,593392,868984
0.1206202507019043,593390,868972
0.1225595474243164,593391,868973
0.1244363784790039,593389,868958
0.12658929824829102,593394,868974
0.1287844181060791,593404,869000
0.13075780868530273,593420,869005
0.13281607627868652,593401,868997
0.13478326797485352,593391,868948
0.1514275074005127,593364,868856
0.19146370887756348,593376,868853
0.23125147819519043,593379,868866
0.2711002826690674,593379,868866
0.31095361709594727,593388,868882
0.35080456733703613,593396,868896
0.39148473739624023,593397,868909
0.43143320083618164,593396,868914
0.4713630676269531,593404,868913
0.5111393928527832,593408,868928
0.5509989261627197,593419,868959
0.5908775329589844,593425,868980
0.6307468414306641,593435,868990
0.6706235408782959,593438,869002
0.7113571166992188,593442,869007
0.7512526512145996,593450,869025
0.7911169528961182,593452,869023
0.8346476554870605,593452,869031
0.8729691505432129,593459,869040
0.9134759902954102,593465,869047
0.9539303779602051,593453,869032
0.9943671226501465,593418,868932
1.0327017307281494,593415,868900
1.0731134414672852,593414,868902
1.1135966777801514,593436,868922
1.154043197631836,593439,868918
1.19450044631958,593451,868925
1.232879638671875,593452,868956
1.273320198059082,593461,868963
1.3138043880462646,593457,868954
1.3542773723602295,593449,868946
1.3930797576904297,593441,868943
1.433661699295044,593469,868981
1.474228858947754,593484,869002
1.5125763416290283,593488,869017
1.5530295372009277,593483,869011
1.593482255935669,593490,869033
1.6339480876922607,593486,869030
1.6722674369812012,593496,869066
1.7127962112426758,593504,869063
1.7532610893249512,593515,869086
1.7936949729919434,593523,869093
1.834202766418457,593531,869113
1.8725244998931885,593507,869053
1.9129891395568848,593482,868964
1.9534938335418701,593474,868928
1.9941380023956299,593477,868922
