time,Reflect: Red,Reflect: IR
0.004637479782104492,37418,44117
0.009251117706298828,37414,44125
0.013921260833740234,37416,44119
0.018613100051879883,37421,44124
0.023281097412109375,37422,44131
0.028089284896850586,37426,44141
0.0324862003326416,37431,44148
0.03618812561035156,37428,44146
0.03983163833618164,37433,44147
0.04341912269592285,37434,44155
0.04701590538024902,37435,44165
0.05060076713562012,37441,44167
0.05416083335876465,37442,44168
0.05772805213928223,37441,44173
0.06132221221923828,37442,44174
0.06495046615600586,37442,44172
0.0686197280883789,37443,44168
0.07229304313659668,37423,44130
0.07608723640441895,37409,44090
0.07985043525695801,37411,44083
0.08355450630187988,37417,44085
0.08718752861022949,37418,44087
0.09083747863769531,37420,44090
0.09449887275695801,37423,44097
0.09823203086853027,37426,44095
0.10190439224243164,37424,44089
0.10562396049499512,37421,44085
0.10946249961853027,37424,44092
0.11327672004699707,37426,44095
0.11691546440124512,37432,44105
0.1205601692199707,37434,44120
0.12422823905944824,37438,44090
0.12781620025634766,37440,44123
0.15114808082580566,37442,44107
0.1914682388305664,37431,44110
0.23140883445739746,37429,44119
0.27143287658691406,37433,44121
0.311328649520874,37438,44128
0.3511965274810791,37436,44131
0.39106106758117676,37430,44119
0.43092966079711914,37416,44079
0.4707939624786377,37409,44062
0.5115594863891602,37420,44064
0.5514628887176514,37421,44074
0.5913395881652832,37425,44080
0.6309537887573242,37432,44091
0.6708602905273438,37432,44095
0.710721492767334,37436,44101
0.7506265640258789,37433,44096
0.7913773059844971,37438,44100
0.8312427997589111,37443,44113
0.8737053871154785,37453,44133
0.9141464233398438,37455,44129
0.954613447189331,37457,44131
0.9929301738739014,37456,44137
1.033447265625,37456,44139
1.0739953517913818,37468,44157
1.1144342422485352,37463,44155
1.1528139114379883,37469,44172
1.1932449340820312,37463,44170
1.2336721420288086,37467,44187
1.274209976196289,37461,44175
1.3125648498535156,37446,44140
1.3530402183532715,37437,44113
1.3935141563415527,37451,44120
1.4339845180511475,37449,44109
1.4723308086395264,37462,44138
1.5131211280822754,37461,44124
1.553621768951416,37468,44140
1.594052791595459,37459,44129
1.6325361728668213,37471,44156
1.6719121932983398,37464,44159
1.7127742767333984,37474,44162
1.7519474029541016,37478,44173
1.7927651405334473,37481,44188
1.83186674118042,37494,44201
1.872650384902954,37507,44206
1.9130780696868896,37511,44215
1.9535160064697266,37504,44205
1.9939756393432617,37506,44202
2.0323197841644287,37503,44203
2.0727970600128174,37505,44206
2.113203525543213,37510,44219
2.153634786605835,37505,44226
2.1919240951538086,37514,44229
2.2323272228240967,37497,44169
2.2728431224823,37488,44144
2.313264846801758,37490,44137
2.353708505630493,37486,44131
2.391997814178467,37488,44137
2.432432174682617,37486,44143
2.4730334281921387,37507,44174
2.5135438442230225,37490,44156
2.5519375801086426,37504,44161
2.592379570007324,37494,44154
2.6329751014709473,37508,44174
2.673614263534546,37522,44176
2.7119369506835938,37515,44175
2.752410411834717,37517,44175
2.792966365814209,37519,44193
2.8334434032440186,37524,44194
2.871800661087036,37524,44205
2.9122447967529297,37522,44198
2.952742338180542,37530,44218
2.9931931495666504,37515,44205
3.031540870666504,37530,44228
3.0720300674438477,37516,44211
3.112459897994995,37527,44208
3.1529600620269775,37494,44146
3.1933865547180176,37507,44143
3.231694459915161,37513,44140
3.2721924781799316,37506,44135
3.3126425743103027,37512,44142
3.3530988693237305,37508,44142
3.391411304473877,37513,44147
3.4318673610687256,37504,44145
3.4723281860351562,37520,44167
3.512787103652954,37518,44165
3.551182746887207,37531,44177
3.591653823852539,37525,44178
3.6322574615478516,37538,44189
3.672823190689087,37513,44161
3.7111566066741943,37521,44181
3.7516281604766846,37516,44180
3.7921407222747803,37533,44194
3.8326311111450195,37524,44191
3.8710296154022217,37535,44207
3.9114716053009033,37538,44210
3.951944351196289,37539,44221
3.9923882484436035,37526,44186
4.0328896045684814,37530,44158
4.071255683898926,37516,44143
4.11168646812439,37531,44153
4.152148962020874,37521,44136
4.192590713500977,37526,44144
4.230924367904663,37518,44147
4.27144455909729,37514,44132
4.311912298202515,37517,44143
4.3523876667022705,37507,44130
4.390726804733276,37521,44151
4.431161403656006,37517,44150
4.471637487411499,37537,44176
4.512106418609619,37535,44186
4.550535440444946,37547,44192
4.590976238250732,37532,44184
4.631537199020386,37550,44207
4.672076940536499,37534,44189
4.7104034423828125,37553,44219
4.75090765953064,37546,44219
4.791414737701416,37563,44231
4.831870079040527,37539,44194
4.8702075481414795,37533,44168
4.910630464553833,37529,44155
4.9510462284088135,37540,44151
4.991484642028809,37533,44147
5.031939744949341,37532,44147
5.070299386978149,37544,44164
5.110711097717285,37541,44171
5.151124715805054,37556,44188
