time,bpm,spo2,Trans: Wave,Reflect: Red,Reflect: IR
0.004753589630126953,66,98,48,57331,14315
0.043463706970214844,66,98,46,1146827,1146848
0.08218955993652344,66,98,45,1984810,2260303
0.12294769287109375,66,98,45,1988133,2544961
0.16300034523010254,66,98,44,1988060,2544869
0.2023944854736328,66,98,44,1988088,2544913
0.24182701110839844,66,98,44,1988053,2544950
0.2829701900482178,66,98,43,1988069,2544917
0.32239270210266113,66,98,42,1988103,2544906
0.3617725372314453,66,98,41,1988097,2544982
0.40285563468933105,66,98,40,1988079,2544982
0.442310094833374,66,98,39,1988082,2544978
0.48332977294921875,66,98,37,1988115,2544931
0.5227389335632324,66,98,36,1988103,2544968
0.5627222061157227,66,98,34,1988087,2545019
0.6036782264709473,66,98,33,1988093,2545005
0.6468894481658936,66,98,32,1988103,2545019
0.6826667785644531,66,98,31,1988114,2544996
0.7225534915924072,66,98,30,1988086,2544924
0.7622015476226807,66,98,29,1988071,2544934
0.8037867546081543,66,98,28,1988094,2544932
0.8432619571685791,66,98,27,1988060,2544956
0.8843002319335938,66,98,26,1988067,2544965
0.9238348007202148,66,98,26,1988097,2544972
0.9633076190948486,66,98,25,1988069,2544973
1.002772331237793,66,98,24,1988064,2544958
1.0439872741699219,66,98,24,1988092,2544962
1.0833592414855957,66,98,23,1988099,2544972
1.1227240562438965,66,98,23,1988088,2545008
1.163867473602295,66,98,22,1988084,2545001
1.2038226127624512,66,98,22,1988075,2545035
1.243725061416626,66,98,21,1988069,2545036
1.283012866973877,66,98,21,1988029,2545011
1.3229098320007324,66,98,20,1988066,2544981
1.3641974925994873,66,98,20,1988088,2544956
1.4038479328155518,66,98,21,1988091,2545002
1.443798303604126,66,98,23,1988093,2545067
1.4831385612487793,66,98,27,1988083,2545088
1.5242202281951904,66,98,33,1988077,2545050
1.5636045932769775,66,98,40,1988085,2544979
1.6046569347381592,66,98,47,1988116,2544905
1.643977165222168,66,98,54,1988093,2544934
1.6851434707641602,66,98,63,1988091,2544931
1.7259197235107422,66,98,64,1988094,2544984
1.7638270854949951,66,98,64,1988046,2544914
1.803222894668579,66,98,63,1988089,2544940
1.8443074226379395,66,98,62,1988077,2544983
1.8837337493896484,66,97,60,1988065,2544981
1.9247381687164307,66,97,58,1988053,2544924
1.9642300605773926,66,97,56,1988060,2544951
2.0037925243377686,66,97,54,1988070,2545014
2.0451300144195557,66,97,52,1988106,2544990
2.084709882736206,66,97,50,1988086,2545031
2.124692678451538,66,97,49,1988088,2545062
2.1641924381256104,66,97,48,1988095,2545032
2.20383358001709,66,97,47,1988093,2545039
2.2448487281799316,66,97,46,1988131,2545064
2.282367467880249,66,97,46,1988118,2545040
2.323199987411499,66,97,45,1988117,2545069
2.3626832962036133,66,97,44,1988121,2545082
2.4026832580566406,66,97,43,1988118,2545092
2.442749261856079,66,97,41,1988112,2545052
2.4828529357910156,66,97,40,1988101,2544999
2.523242950439453,66,97,39,1988099,2544971
2.563333511352539,66,97,37,1988073,2544963
2.6030895709991455,66,97,36,1988079,2544965
2.6427865028381348,66,97,34,1988073,2544948
2.6829373836517334,66,97,32,1988080,2544976
2.723032236099243,66,97,31,1988088,2544963
2.7631466388702393,66,97,30,1988081,2544960
2.803316116333008,66,97,29,1988074,2544967
2.8434700965881348,66,97,28,1988081,2544970
2.8835501670837402,66,97,27,1988090,2544981
2.9236199855804443,66,97,27,1988091,2544989
2.9633867740631104,66,97,26,1988092,2545013
3.008223295211792,66,97,26,1988094,2545015
3.047307252883911,66,97,25,1988116,2545042
3.0861763954162598,66,97,25,1988099,2544994
3.1257121562957764,66,97,24,1988122,2545047
3.165163993835449,66,97,23,1988120,2545082
3.206242084503174,66,97,23,1988107,2545032
3.2457010746002197,66,97,23,1988134,2545069
3.28519606590271,66,97,22,1988128,2545105
3.3264310359954834,66,97,22,1988101,2545093
3.3663723468780518,66,97,22,1988103,2544978
3.4058923721313477,66,97,22,1988106,2544964
3.4456021785736084,66,97,22,1988064,2544931
