time,Reflect: Red,Reflect: IR
0.004641056060791016,4194303,4194303
0.009259700775146484,4194303,4194303
0.013974189758300781,4194303,4194303
0.018664836883544922,4194303,4194303
0.023456096649169922,4194303,4194303
0.027854204177856445,4194303,4194303
0.03160834312438965,4194303,4194303
0.03531360626220703,4194303,4194303
0.038991689682006836,4194303,4194303
0.04258441925048828,4194303,4194303
0.04619240760803223,4194303,4194303
0.04981541633605957,4194303,4194303
0.053395748138427734,4194303,4194303
0.056960344314575195,4194303,4194303
0.060564279556274414,4194303,4194303
0.0641329288482666,4194303,4194303
0.06770896911621094,4194303,4194303
0.07128620147705078,4194303,4194303
0.07487797737121582,4194303,4194303
0.07845854759216309,4194303,4194303
0.08203816413879395,4194303,4194303
0.08562111854553223,4194303,4194303
0.08923459053039551,4194303,4194303
0.09289884567260742,4194303,4194303
0.09657120704650879,4194303,4194303
0.10035586357116699,4194303,4194303
0.10413646697998047,4194303,4194303
0.10784482955932617,4194303,4194303
0.11149954795837402,4194303,4194303
0.1151437759399414,4194303,4194303
0.1188347339630127,4194303,4194303
0.12268328666687012,4194303,4194303
0.12659692764282227,4194303,4194303
0.15445256233215332,4194303,4194303
0.1940774917602539,4194303,4194303
0.23478245735168457,4194303,4194303
0.2745997905731201,4194303,4194303
0.3145625591278076,4194303,4194303
0.3543827533721924,4194303,4194303
0.3941795825958252,4194303,4194303
0.43440723419189453,4194303,4194303
0.4741535186767578,4194303,4194303
0.5143089294433594,4194303,4194303
0.5543296337127686,4194303,4194303
0.5942840576171875,4194303,4194303
0.6341354846954346,4194303,4194303
0.6739394664764404,4194303,4194303
0.713742733001709,4194303,4194303
0.7544090747833252,4194303,4194303
0.7943763732910156,4194303,4194303
0.837885856628418,4194303,4194303
0.8762428760528564,4194303,4194303
0.9166572093963623,4194303,4194303
0.9564204216003418,4194303,4194303
0.9972095489501953,4194303,4194303
1.0353608131408691,4194303,4194303
1.0762200355529785,4194303,4194303
1.1153500080108643,4194303,4194303
1.15572190284729,4194303,4194303
1.1961839199066162,4194303,4194303
1.237060785293579,4194303,4194303
1.2775285243988037,4194303,4194303
1.3158891201019287,4194303,4194303
1.3563737869262695,4194303,4194303
1.3967959880828857,4194303,4194303
1.437283992767334,4194303,4194303
1.475712537765503,4194303,4194303
1.5162591934204102,4194303,4194303
1.5548427104949951,4194303,4194303
1.5956695079803467,4194303,4194303
1.6348154544830322,4194303,4194303
1.677110195159912,4194303,4194303
1.7156813144683838,4194303,4194303
1.754206895828247,4194303,4194303
1.7949883937835693,4194303,4194303
1.8344457149505615,4194303,4194303
1.875368595123291,4194303,4194303
1.9157459735870361,4194303,4194303
1.9589943885803223,4194303,4194303
1.9956417083740234,4194303,4194303
2.036433696746826,4194303,4194303
2.0745089054107666,4194303,4194303
2.115262985229492,4194303,4194303
2.155961513519287,4194303,4194303
2.196465015411377,4194303,4194303
2.2368879318237305,4194303,4194303
2.2752158641815186,4194303,4194303
2.315976619720459,4194303,4194303
2.35642671585083,4194303,4194303
2.3968074321746826,4194303,4194303
2.4350643157958984,4194303,4194303
2.4751250743865967,4194303,4194303
2.515855550765991,4194303,4194303
2.555502414703369,4194303,4194303
2.5946929454803467,4194303,4194303
2.635514259338379,4194303,4194303
2.6763598918914795,4194303,4194303
2.71474552154541,4194303,4194303
2.755342483520508,4194303,4194303
2.7958967685699463,4194303,4194303
2.8364040851593018,4194303,4194303
2.8748939037323,4194303,4194303
2.9155454635620117,4194303,4194303
2.956138849258423,4194303,4194303
2.9949629306793213,4194303,4194303
3.035902261734009,4194303,4194303
3.0738189220428467,4194303,4194303
3.114664316177368,4194303,4194303
3.1560888290405273,4194303,4194303
3.1944212913513184,4194303,4194303
3.2348644733428955,4194303,4194303
3.2753939628601074,4194303,4194303
3.3159172534942627,4194303,4194303
3.356431007385254,4194303,4194303
3.394766092300415,4194303,4194303
3.4352097511291504,4194303,4194303
3.47568678855896,4194303,4194303
3.5149753093719482,4194303,4194303
3.5540151596069336,4194303,4194303
3.594909906387329,4194303,4194303
3.634047508239746,4194303,4194303
3.6755566596984863,4194303,4194303
3.7160274982452393,4194303,4194303
3.7544548511505127,4194303,4194303
3.7949516773223877,4194303,4194303
3.835397481918335,4194303,4194303
3.8758559226989746,4194303,4194303
3.914177894592285,4194303,4194303
3.955233335494995,4194303,4194303
3.996196746826172,4194303,4194303
4.035005807876587,4194303,4194303
4.074253082275391,4194303,4194303
4.1133716106414795,4194303,4194303
4.155137538909912,4194303,4194303
4.195520639419556,4194303,4194303
4.235889911651611,4194303,4194303
4.274196624755859,4194303,4194303
4.314936637878418,4194303,4194303
4.355659484863281,4194303,4194303
4.394007921218872,4194303,4194303
4.434403419494629,4194303,4194303
4.474840402603149,4194303,4194303
4.514405965805054,4194303,4194303
4.554839134216309,4194303,4194303
4.594247341156006,4194303,4194303
4.633452415466309,4194303,4194303
4.675517320632935,4194303,4194303
4.71382999420166,4194303,4194303
4.754623651504517,4194303,4194303
4.795289754867554,4194303,4194303
4.833659648895264,4194303,4194303
4.874090909957886,4194303,4194303
4.9145348072052,4194303,4194303
4.955028533935547,4194303,4194303
4.995433568954468,4194303,4194303
5.034679651260376,4194303,4194303
5.073211193084717,4194303,4194303
5.114062070846558,4194303,4194303
5.1532816886901855,4194303,4194303
5.194983243942261,4194303,4194303
5.2332775592803955,4194303,4194303
5.273933410644531,4194303,4194303
5.3144850730896,4194303,4194303
5.3532373905181885,4194303,4194303
5.39370584487915,4194303,4194303
5.434078216552734,4194303,4194303
5.474496841430664,4194303,4194303
5.518293619155884,4194303,4194303
5.55513596534729,4194303,4194303
5.593491792678833,4194303,4194303
5.632676601409912,4194303,4194303
5.673393726348877,4194303,4194303
5.713881015777588,4194303,4194303
5.754321575164795,4194303,4194303
5.794893980026245,4194303,4194303
5.833254098892212,4194303,4194303
5.873661518096924,4194303,4194303
5.914064407348633,4194303,4194303
5.954598426818848,4194303,4194303
5.993062734603882,4194303,4194303
6.033376455307007,4194303,4194303
6.073360919952393,4194303,4194303
6.112523078918457,4194303,4194303
6.1532721519470215,4194303,4194303
6.194070100784302,4194303,4194303
6.234471321105957,4194303,4194303
6.272843837738037,4194303,4194303
6.31334924697876,4194303,4194303
6.353750705718994,4194303,4194303
6.394151926040649,4194303,4194303
6.434558629989624,4194303,4194303
6.472853660583496,4194303,4194303
6.513800382614136,4194303,4194303
6.553988218307495,4194303,4194303
6.5918097496032715,4194303,4194303
6.632602214813232,4194303,4194303
6.674029350280762,4194303,4194303
6.712358474731445,4194303,4194303
6.752878665924072,4194303,4194303
6.793475389480591,4194303,4194303
