time,bpm,spo2,Trans: Wave,Reflect: Red,Reflect: IR
0.0047817230224609375,76,98,29,57703,14462
0.043548583984375,76,98,36,1147366,1147376
0.0822911262512207,76,98,42,1438897,1987706
0.12146472930908203,76,98,49,1438850,1992419
0.16109609603881836,76,98,54,1438834,1992422
0.20072150230407715,76,98,58,1438837,1992431
0.2431035041809082,76,98,60,1438830,1992474
0.28175878524780273,76,98,60,1438851,1992538
0.3225388526916504,76,98,60,1438900,1992661
0.36322617530822754,76,98,59,1438858,1992618
0.40189623832702637,76,98,58,1438896,1992684
0.4426229000091553,75,98,54,1438907,1992754
0.48341870307922363,75,98,52,1438983,1992883
0.5216827392578125,75,98,51,1438902,1992797
0.5609781742095947,75,98,49,1438918,1992836
0.6019482612609863,75,98,47,1438945,1992932
0.6424305438995361,75,98,47,1438924,1992818
0.683234453201294,75,98,46,1438911,1992795
0.7219076156616211,75,98,45,1438865,1992690
0.7625846862792969,75,98,45,1438879,1992751
0.8012580871582031,75,98,44,1438886,1992792
0.8419625759124756,75,98,43,1438893,1992800
0.8826525211334229,75,98,42,1438838,1992689
0.9214811325073242,75,98,41,1438876,1992752
0.9610762596130371,75,98,40,1438852,1992727
1.0004477500915527,75,98,40,1438846,1992745
1.0415434837341309,75,98,39,1438879,1992791
1.0808889865875244,75,98,37,1438921,1992885
1.1203787326812744,75,98,36,1438916,1992932
1.160588026046753,75,98,35,1438945,1992974
1.2014589309692383,75,98,34,1438964,1993040
1.2405378818511963,75,98,33,1438997,1993085
1.2799382209777832,75,98,33,1438990,1993067
1.3210432529449463,75,98,33,1438946,1992996
1.3614239692687988,75,98,32,1438995,1993130
1.40232253074646,75,98,33,1439001,1993122
1.439589023590088,75,98,33,1438965,1993000
1.4806585311889648,75,98,33,1438869,1992889
1.5200035572052002,75,98,33,1438834,1992755
1.5620057582855225,75,98,33,1438852,1992770
1.6006579399108887,75,98,33,1438846,1992804
1.6401481628417969,75,98,32,1438850,1992766
1.6794860363006592,75,98,32,1438799,1992676
1.720604658126831,75,98,32,1438787,1992654
1.7603850364685059,75,98,32,1438806,1992699
1.8011541366577148,75,98,32,1438818,1992733
1.840606927871704,75,98,33,1438821,1992728
1.8797581195831299,75,98,36,1438824,1992713
1.919142484664917,75,98,40,1438814,1992703
